;cod_proc;num_tramite;denom
0;515.0;279.0;Justificación final
1;247.0;279.0;Liquidacion Expediente (justificación)
2;211.0;280.0;Resolución de Liquidación
3;1186.0;281.0;Resolución de Renuncia Parcial
4;124.0;281.0;Resolución de Revisión
5;195.0;281.0;Resolución de Revisión
6;34.0;281.0;Resolución de Revisión
7;577.0;281.0;Revisión de Justificación
8;600.0;282.0;Propuesta Resolución de Revisión
9;998.0;283.0;Acuerdo de inicio pérdida de derecho al cobro (Total o Parcial)
10;307.0;283.0;Acuerdo de inicio pérdida de derecho al cobro (Total o Parcial)
11;172.0;283.0;IPR de pérdida de la ayuda por ATENDER Y NO CUMPLIR el emplazamiento
12;600.0;283.0;Propuesta Resolución Pérdida de Derecho al Cobro
13;601.0;283.0;Propuesta Resolución Pérdida de Derecho al Cobro
14;844.0;283.0;Propuesta Resolución de Pérdida de Derecho al Cobro Total
15;1056.0;283.0;Propuesta Resolución Pérdida de Derecho al Cobro Parcial
16;1024.0;283.0;Propuesta Resolución de Abono Parcial
17;942.0;283.0;Propuesta Resolución de Abono Parcial
18;885.0;283.0;Resolución No procede pérdida total
19;1024.0;283.0;Propuesta Resolución de Pérdida Total - Incuplimiento Total
20;144.0;283.0;IPR de pérdida de la prórroga por ATENDER Y NO CUMPLIR (prórroga)
21;144.0;283.0;IPR de pérdida del trimestre por ATENDER Y NO CUMPLIR . Trim. 2 (prórroga)
22;144.0;283.0;IPR de pérdida del trimestre por ATENDER Y NO CUMPLIR . Trim. 4 (prórroga)
23;144.0;283.0;IPR de pérdida del trimestre por NO ATENDER . Trimestre 3 (prórroga)
24;347.0;284.0;Propuesta Provisional de Resolución de Procedimiento
25;342.0;284.0;Propuesta Provisional de Resolución de Procedimiento
26;442.0;284.0;Propuesta Provisional de Resolución de Procedimiento
27;53.0;284.0;Propuesta de Resolución de Procedimiento
28;54.0;284.0;Propuesta de Resolución de Procedimiento
29;161.0;284.0;Propuesta de Resolución de Procedimiento
30;278.0;284.0;Propuesta de Resolución de Procedimiento
31;456.0;284.0;Propuesta de Resolución de Procedimiento
32;600.0;284.0;Propuesta de Resolución de Procedimiento
33;602.0;284.0;Propuesta de Resolución de Procedimiento
34;455.0;284.0;Propuesta de Resolución de Procedimiento
35;1100.0;284.0;Propuesta Definitiva Conjunta
36;921.0;285.0;Resolución (admitidos, excluidos, desistidos o renuncia)
37;260.0;285.0;Resolución de Procedimiento
38;601.0;285.0;Resolución de Procedimiento
39;937.0;285.0;Resolución de Procedimiento
40;455.0;285.0;Resolución de Procedimiento
41;921.0;285.0;Resolución listado definitivo
42;392.0;286.0;Presentacion solicitud de desistimiento
43;968.0;286.0;Presentacion solicitud de desistimiento
44;826.0;286.0;Presentación Solicitud Desistimiento
45;178.0;286.0;Presentación Solicitud Desistimiento
46;321.0;286.0;Presentación Solicitud Desistimiento
47;441.0;286.0;Presentación Solicitud Desistimiento
48;448.0;286.0;Presentación Solicitud Desistimiento
49;530.0;286.0;Presentación Solicitud Desistimiento
50;974.0;286.0;Presentación Solicitud Desistimiento
51;987.0;286.0;Presentación Solicitud Desistimiento
52;1069.0;286.0;Presentación Solicitud Desistimiento
53;188.0;286.0;Presentación Solicitud Desistimiento
54;328.0;286.0;Presentación Solicitud Desistimiento
55;425.0;286.0;Presentación Solicitud Desistimiento
56;825.0;286.0;Presentación Solicitud Desistimiento
57;162.0;286.0;Presentación Solicitud Desistimiento
58;443.0;286.0;Presentación Solicitud Desistimiento
59;647.0;286.0;Presentación Solicitud Desistimiento
60;824.0;286.0;Presentación Solicitud de Desistimiento
61;1041.0;286.0;Presentación de Solicitud Desistimiento
62;121.0;286.0;Presentación de Solicitud de Desestimiento
63;891.0;286.0;Presentación de Solicitud de Desistimiento
64;68.0;286.0;Presentación de solicitud de desistimiento
65;308.0;286.0;Presentación de solicitud de desistimiento
66;636.0;286.0;Presentación de solicitud de desistimiento
67;900.0;286.0;Presentación de solicitud de desistimiento
68;150.0;286.0;Presentación de solicitud de desistimiento
69;656.0;286.0;Presentación de solicitud de desistimiento
70;303.0;286.0;Presentación solicitud de desistimiento
71;483.0;286.0;Presentación solicitud de desistimiento
72;420.0;286.0;Presentación solicitud de desistimiento
73;1250.0;286.0;Presentación solicitud de desistimiento
74;985.0;286.0;Presentación solicitud de desistimiento
75;224.0;286.0;Presentación solicitud de desistimiento
76;345.0;286.0;Solicitud de desistimiento de modificación
77;187.0;287.0;Seguimiento
78;525.0;287.0;Seguimiento
79;1200.0;287.0;Seguimiento
80;150.0;287.0;Seguimiento
81;328.0;287.0;Seguimiento
82;406.0;287.0;Seguimiento
83;424.0;287.0;Seguimiento
84;327.0;287.0;Seguimiento
85;1239.0;287.0;Seguimiento
86;856.0;287.0;Seguimiento 
87;1082.0;287.0;Seguimiento 
88;906.0;287.0;Seguimiento Actuaciones
89;48.0;287.0;Seguimiento primer año
90;137.0;287.0;Seguimiento primer año
91;164.0;287.0;Seguimiento primer año
92;330.0;287.0;Seguimiento primer año
93;212.0;287.0;Seguimiento primer año
94;58.0;287.0;Seguimiento primer año
95;394.0;287.0;Seguimiento primer año
96;151.0;287.0;Seguimiento primer periodo
97;60.0;287.0;Seguimiento primer periodo
98;795.0;287.0;Seguimiento primer periodo
99;37.0;287.0;Seguimiento primer periodo
100;77.0;287.0;Seguimiento primer periodo
101;273.0;287.0;Seguimiento primer periodo
102;152.0;287.0;Seguimiento primer periodo
103;1070.0;287.0;Seguimiento y Control
104;188.0;287.0;Seguimiento segundo año
105;394.0;287.0;Seguimiento segundo año
106;583.0;287.0;Seguimiento segundo año
107;137.0;287.0;Seguimiento segundo año
108;164.0;287.0;Seguimiento segundo año
109;152.0;287.0;Seguimiento segundo periodo
110;63.0;287.0;Seguimiento segundo periodo
111;149.0;287.0;Seguimiento segundo periodo
112;49.0;287.0;Seguimiento segundo semestre
113;59.0;287.0;Seguimiento segundo semestre
114;137.0;287.0;Seguimiento tercer año
115;394.0;287.0;Seguimiento tercer año
116;1203.0;287.0;Seguimiento tercer año
117;526.0;287.0;Seguimiento tercer año
118;58.0;287.0;Seguimiento tercer año
119;62.0;287.0;Seguimiento tercer periodo
120;357.0;287.0;Seguimiento tercer periodo
121;37.0;287.0;Seguimiento tercer periodo
122;63.0;287.0;Seguimiento tercer periodo
123;149.0;287.0;Seguimiento tercer periodo
